Player Name,Team
MJ Clarke,Australia
CT Tremlett,England
MJ Lumb,England
RJ Harris,Australia
Mohammed Shami,India
Nawroz Mangal,Afghanistan
Zahid Shah,United Arab Emirates
UWMBCA Welegedara,India
LE Plunkett,Pakistan
Fahad Alhashmi,United Arab Emirates
Rizwan Ahmed,Zimbabwe
DT Tiripano,Zimbabwe
Umar Amin,Pakistan
N Ncube,New Zealand
BA Stokes,England
Qaiser Ali,Canada
J Louw,South Africa
S Bau,Papua New Guinea
N Fernandes,United Arab Emirates
I Sharma,India
JO Ngoche,Kenya
RR Emrit,West Indies
R Mutumbami,Zimbabwe
AD Mascarenhas,England
DJ Willey,England
SP Patil,United Arab Emirates
Anwar Ali,Pakistan
NJ O'Brien,Ireland
AN Kervezee,Netherlands
B Stanlake,Pakistan
TP Ura,Papua New Guinea
RP Singh,India
DBL Powell,West Indies
A Flintoff,England
Mithun Ali,Bangladesh
A van der Merwe,Ireland
Kabir Ali,England
N M'shangwe,Zimbabwe
Mohammad Hafeez,Pakistan
PKD Chase,Ireland
TC Mutombodzi,Zimbabwe
Harbhajan Singh,India
J Lewis,England
N Mushangwe,Zimbabwe
SM Davies,England
LE Bosman,South Africa
AD Russell,West Indies
AB Barath,West Indies
JR Hopes,Australia
DJ Cullen,Australia
CL White,Australia
WT Gavera,Papua New Guinea
Y Venugopal Rao,India
JJ Celestine,Bermuda
VAB Tewarie,Netherlands
RML Taylor,Scotland
VR Aaron,India
GEF Barnett,Canada
T Kamungozi,Zimbabwe
JW Dernbach,England
JP Faulkner,Australia
HP Rinke,Zimbabwe
NO Miller,Ireland
HJW Gardiner,Scotland
R Powell,West Indies
DM de Silva,Sri Lanka
AGR Loudon,England
CK Langeveldt,Zimbabwe
WB Rankin,Ireland
Gulbodin Naib,Afghanistan
KS Lokuarachchi,Sri Lanka
BA Parchment,West Indies
JM Kemp,South Africa
WF Stelling,Scotland
Mansoor Amjad,Pakistan
CD Cumming,New Zealand
Nazimuddin,Bangladesh
TN de Grooth,Netherlands
AW Mathieson,New Zealand
GJ Batty,England
SM Sharif,United Arab Emirates
Waqas Khan,Hong Kong
Elias Sunny,Bangladesh
Sami Aslam,Pakistan
MA Parker,Afghanistan
Shaiman Anwar,United Arab Emirates
SMA Priyanjan,Sri Lanka
Salman Farooq,Afghanistan
LJ Wright,England
CS Martin,England
N Madziva,Zimbabwe
SP Terry,Ireland
TG Southee,New Zealand
Naumanullah,Pakistan
SMSM Senanayake,West Indies
Usman Limbada,Canada
J Botha,South Africa
JWM Dalrymple,England
CK Kapugedera,Sri Lanka
S Tyagi,India
MR Swart,Netherlands
Abdur Razzak,Bangladesh
LL Tsotsobe,Pakistan
JJ van der Wath,South Africa
Ehsan Khan,Hong Kong
P Mustard,England
SR Patel,England
CM Wright,Scotland
HA Varaiya,Kenya
PDRL Perera,Sri Lanka
PP Ojha,India
JL Carter,West Indies
V Permaul,West Indies
Mohammad Shahzad (2),United Arab Emirates
NV Ojha,India
Faisal Hossain,Bangladesh
AR Berenger,United Arab Emirates
AM Samad,Canada
HDRL Thirimanne,Sri Lanka
Al-Amin Hossain,Bangladesh
BMAJ Mendis,Sri Lanka
Anshuman Rath,Hong Kong
JB Reva,Papua New Guinea
AF Buurman,Netherlands
AM Blignaut,India
Sabbir Rahman,Bangladesh
CB Mpofu,Zimbabwe
Dawlat Zadran,Afghanistan
Shahriar Nafees,Bangladesh
SD Outerbridge,Bermuda
SM Pollock,South Africa
S Badrinath,India
A Zampa,Australia
Sohail Khan,Pakistan
J Charles,West Indies
Asif Iqbal (1),United Arab Emirates
D Elgar,South Africa
Sarfraz Ahmed,Pakistan
OO Bascome,Bermuda
Sohail Tanvir,Pakistan
AO Suji,Kenya
OA Shah,England
MS Sinclair,New Zealand
IS Billcliff,Canada
KJ O'Brien,Ireland
CJ Chibhabha,Zimbabwe
KV Sharma,Sri Lanka
Parvez Rasool,India
VJ Kingma,Netherlands
J Yadav,India
ID Blackwell,England
JC Tredwell,England
Rokhan Barakzai,Zimbabwe
Soumya Sarkar,Bangladesh
MA Aponso,Sri Lanka
CB Sole,United Arab Emirates
MS Atapattu,Sri Lanka
Syed Rasel,Bangladesh
SS Tiwary,India
SC Meaker,England
Q de Kock,South Africa
MS Tshabalala,South Africa
TM Dowlin,West Indies
BJ McCarthy,Ireland
MF Maharoof,Sri Lanka
B Geeves,Australia
NG Jones,Ireland
Karim Sadiq,Afghanistan
Kamran Hussain,Zimbabwe
STR Binny,India
DSNFG Jayasuriya,Sri Lanka
GH O'Brien,Bermuda
MA Wood,England
JWA Taylor,England
TM Dilshan,Sri Lanka
Arafat Sunny,Bangladesh
TS Nethula,New Zealand
SS Cottrell,West Indies
Mahbubul Alam,Bangladesh
Raees Ahmadzai,Afghanistan
Arshad Ali,United Arab Emirates
Haris Sohail,Pakistan
BAW Mendis,West Indies
D Mongia,India
Babar Azam,Pakistan
GD McGrath,Australia
Farhad Reza,Bangladesh
JE Root,England
Hamza Hotak,Afghanistan
MKDI Amerasinghe,Sri Lanka
DAJ Bracewell,New Zealand
Shakib Al Hasan,Bangladesh
U Bhatti,Canada
Mohammad Amir,Pakistan
RT Crandon,West Indies
SJ Benn,West Indies
Nizakat Khan,Hong Kong
CT Mumba,Zimbabwe
ML Cummins,Ireland
MD Shanaka,Sri Lanka
PJ Cummins,England
F Behardien,South Africa
MR Gillespie,West Indies
IA Nicolson,Zimbabwe
L Ronchi,New Zealand
MG Johnson,Australia
HS Modi,Kenya
Jubair Hossain,Bangladesh
AR Adams,New Zealand
NM Hauritz,Australia
AP Devcich,New Zealand
Rameez Shahzad,United Arab Emirates
Imad Wasim,Pakistan
MWA van Nierop,Netherlands
JK Kamande,Kenya
MN Waller,Zimbabwe
TMK Mawoyo,Zimbabwe
Zakiullah Zaki,Afghanistan
JM Anderson,England
GH Bodi,South Africa
KHRK Fernando,Sri Lanka
Jahurul Islam,Bangladesh
HF Gurney,England
RV Uthappa,India
JJ Bumrah,India
Litton Das,Bangladesh
S Matsikenyeri,Zimbabwe
BCJ Cutting,Australia
NS Poonia,Scotland
Zulfiqar Babar,Pakistan
GH Worker,New Zealand
Imran Tahir,South Africa
MEK Hussey,Australia
Iftikhar Ahmed,Pakistan
F Kasteni,Zimbabwe
DI Joyce,Ireland
BN Cooper,Netherlands
T Taibu,Zimbabwe
RS Morton,West Indies
BB Chari,Zimbabwe
WU Tharanga,Sri Lanka
Usman Ghani,Afghanistan
DJ Reekers,Netherlands
A Nel,South Africa
Shapoor Zadran,Afghanistan
NM Lyon,Australia
Shafiul Islam,Bangladesh
Ghulam Shabber,United Arab Emirates
A Shahzad,England
ML Udawatte,Sri Lanka
GB Brent,Zimbabwe
JN Mohammed,West Indies
JJ Tucker,Bermuda
DLS van Bunge,Netherlands
AC Gilchrist,Australia
Fayyaz Ahmed,United Arab Emirates
Shahzaib Hasan,Pakistan
RT Lyons,Afghanistan
Waqas Barkat,Hong Kong
CS Baugh,West Indies
Abdul Razzaq,Pakistan
DR Flynn,New Zealand
Nasir Jamshed,Pakistan
J Nyumbu,Zimbabwe
SP Narine,West Indies
CR Woakes,England
SL Stewart,New Zealand
Junaid Khan,Pakistan
KO Meth,Zimbabwe
AC Cummins,Canada
DR Martyn,Australia
PA Browne,West Indies
PSP Handscomb,Australia
Krishna Chandran,United Arab Emirates
DM Richards,West Indies
Mohammed Qasim,United Arab Emirates
GM Hamilton,Scotland
JC Buttler,England
MJ Guptill,New Zealand
BP Nash,West Indies
GA Manou,Australia
Zafar Gohar,Pakistan
AB Dinda,India
Mudassar Bukhari,Netherlands
PM Seelaar,Netherlands
Abdur Rehman,Pakistan
JL Ontong,South Africa
AD Poynter,Ireland
TJ Murtagh,Ireland
E Lewis,West Indies
KOA Powell,West Indies
NN Odhiambo,Kenya
SR Thompson,Ireland
Aizaz Khan,Hong Kong
CJ McKay,Australia
PLS Gamage,Sri Lanka
Nurul Hasan,Bangladesh
W Jaffer,India
Suhrawadi Shuvo,West Indies
IG Butler,New Zealand
TBM de Leede,Netherlands
Ehsan Adil,Pakistan
JS Patel,New Zealand
BP Loots,Netherlands
CAK Walton,West Indies
LN Onyango,Netherlands
PA Hitchcock,New Zealand
BV Vitori,Zimbabwe
AA Noffke,India
C Munro,New Zealand
Salman Faris,United Arab Emirates
LP van Troost,Netherlands
MM Patel,India
RD Berrington,Scotland
ADJ Pitcher,Bermuda
P Kumar,Pakistan
WPUJC Vaas,Sri Lanka
N Dutta,Canada
G Onions,England
NFI McCallum,Scotland
AC Evans,United Arab Emirates
SC Ganguly,India
PW Borren,Netherlands
Izatullah Dawlatzai,Afghanistan
S Chattergoon,West Indies
GR Codrington,Canada
RT Ponting,Australia
MJ Cosgrove,Australia
Sohag Gazi,India
TT Samaraweera,Sri Lanka
Fawad Ahmed,Australia
Junaid Siddique,Bangladesh
SR Clark,Pakistan
AN Cook,England
JA Burns,Australia
MJ Henry,Pakistan
Rizwan Cheema,Canada
TM Odoyo,Kenya
CD McMillan,New Zealand
Munir Dar,Hong Kong
Kamran Shazad,United Arab Emirates
GS Ballance,England
DI Allan,Kenya
ST Jayasuriya,Sri Lanka
DC Thomas,West Indies
MS Dhoni,India
AS Joseph,West Indies
Rahat Ali,Pakistan
HK Bennett,India
ES Szwarczynski,Netherlands
DE Bernard,West Indies
TD Paine,Australia
Mohammad Iqbal,Canada
HM Nicholls,New Zealand
D Ganga,West Indies
Ehsan Nawaz,Hong Kong
CH Gayle,West Indies
Khaliq Dad,Afghanistan
ST Finn,England
SG Borthwick,England
UT Khawaja,Australia
NT Broom,New Zealand
Irfan Ahmed,Hong Kong
Sohaib Maqsood,Pakistan
P Connell,Ireland
Abdul Shakoor,United Arab Emirates
H Osinde,Canada
Mohammad Rafique,Asia XI
AR White,Ireland
SM Boland,Australia
Mustafizur Rahman,Bangladesh
Aftab Ahmed,Bangladesh
Kamran Akmal,Pakistan
NR Kumar,Canada
A Vala,Papua New Guinea
PA Nixon,England
BJ Diamanti,New Zealand
RJ Nicol,New Zealand
N Vanua,Papua New Guinea
VRV Singh,England
AR Nurse,West Indies
RP Burl,Zimbabwe
AK Perera,Sri Lanka
MA Ouma,Kenya
Iftikhar Anjum,Pakistan
SD Heazlett,Australia
MRJ Watt,Scotland
N Dickwella,Sri Lanka
Irfan Sajid,United Arab Emirates
S Dhawan,India
RAS Lakmal,Sri Lanka
PJ Hughes,Australia
S Thuraisingam,Canada
CK Kruger,Hong Kong
PJC Hoffmann,Scotland
TWM Latham,New Zealand
MJ North,Australia
XJ Doherty,India
Nasir Jamal,Afghanistan
TL Chatara,Zimbabwe
Tabarak Dar,Hong Kong
KAJ Roach,West Indies
KTGD Prasad,Sri Lanka
Usman Salahuddin,Pakistan
Yasir Arafat,Pakistan
GB Hogg,Australia
TAM Siriwardana,Sri Lanka
GJ McCarter,Ireland
CL Cairns,New Zealand
B Zuiderent,Netherlands
A Balbirnie,Ireland
Mohammad Nawaz (3),Pakistan
D Daesrath,Canada
DS Weerakkody,Sri Lanka
GD Elliott,New Zealand
NM Odhiambo,Kenya
GI Maiden,Scotland
JM Bairstow,England
PA Patel,India
CJO Smith,Scotland
Tanvir Ahmed,Pakistan
PG Gillespie,Ireland
KW Richardson,Australia
D Murphy,Scotland
SW Billings,England
JM Vince,England
EP Thompson,New Zealand
Shahid Wasif,Hong Kong
S Sharif,Netherlands
H Durham,Bermuda
KC Brathwaite,West Indies
AM Rahane,India
Manjural Islam Rana,Bangladesh
WD Balaji Rao,Ireland
R Telemachus,South Africa
CA Soper,Papua New Guinea
D Ramdin,West Indies
SB Styris,New Zealand
Najeeb Amar,Hong Kong
YK Pathan,Pakistan
SE Findlay,West Indies
RG Sharma,India
SD Hope,West Indies
IK Pathan,India
AS Luseno,Kenya
MH Yardy,England
SA Abbott,Australia
JP Bray,Ireland
JM Mennie,Australia
Sikandar Raza,Zimbabwe
A Nehra,New Zealand
T Panyangara,Zimbabwe
NM Coulter-Nile,Australia
JW Hastings,Australia
MJ McClenaghan,New Zealand
MA Carberry,England
Mirwais Ashraf,Afghanistan
CR Foggo,Bermuda
MJG Rippon,Netherlands
SW Poynter,Ireland
LS Baker,West Indies
H Hiri,Papua New Guinea
TL Best,West Indies
TK Musakanda,Zimbabwe
DR Briggs,Pakistan
MD Dai,Papua New Guinea
KAD Hurdle,Bermuda
UDU Chandana,Sri Lanka
SF Mire,Zimbabwe
Qadeer Ahmed,Scotland
MS Panesar,England
Asad Ali,Pakistan
FY Fazal,India
PHT Kaushal,Sri Lanka
Robiul Islam,Bangladesh
HH Dippenaar,Africa XI
M Zondeki,South Africa
KL Rahul,India
SD Parry,England
JJ Roy,England
Habibul Bashar,Bangladesh
AJ Finch,Australia
PJK Mooney,Ireland
KJ Abbott,South Africa
Hashmatullah Shahidi,Afghanistan
PM Siddle,Australia
MT Chinouya,Zimbabwe
Enamul Haque jnr,Bangladesh
Amjad Ali,United Arab Emirates
V Sehwag,India
Saad Nasim,Pakistan
T Maruma,Zimbabwe
J Patraj,Canada
DW Steyn,South Africa
DO Obuya,Kenya
SO Ngoche,Kenya
Zeeshan Siddiqi,Canada
CS MacLeod,Scotland
Hasti Gul,Afghanistan
CD Collymore,West Indies
KK Nair,India
GP Swann,England
JD Unadkat,West Indies
DR Chumney,Canada
Rahmat Shah,Afghanistan
HJC Mol,Netherlands
G Goudie,Netherlands
H Masakadza,Zimbabwe
RA Jadeja,India
MS Chapman,Hong Kong
SHT Kandamby,Sri Lanka
JA Morkel,South Africa
DE Bollinger,Australia
Taskin Ahmed,India
A Mithun,India
IPP Batuwitarachchi,United Arab Emirates
E Chigumbura,Zimbabwe
Shafiqullah,Afghanistan
Javed Ahmadi,Afghanistan
AL Kandappah,Canada
MO Jones,Bermuda
Naved-ul-Hasan,Pakistan
MA Vermeulen,Zimbabwe
T Bavuma,South Africa
BP Kruger,Netherlands
L Siaka,Papua New Guinea
M Muralitharan,West Indies
WIA Fernando,Sri Lanka
T Thushara,Sri Lanka
Saqib Ali,United Arab Emirates
S Randiv,Sri Lanka
Mohammad Irfan,Pakistan
MK Pandey,India
DR Brown,Scotland
TA Boult,Pakistan
MM Ali,England
Mosaddek Hossain,Bangladesh
Ankur Sharma,Hong Kong
BKG Mendis,Sri Lanka
AT Rayudu,India
Nazmul Hossain,Pakistan
JJ Atkinson,Hong Kong
SR Watson,Australia
JEC Franklin,New Zealand
Shabir Noori,Afghanistan
HG Munsey,Scotland
PA Desai,Canada
NLTC Perera,Sri Lanka
ML Hayden,Australia
CRD Fernando,Sri Lanka
IJL Trott,England
NL McCullum,New Zealand
GJ Hopkins,New Zealand
Gurkeerat Singh,India
P Utseya,Zimbabwe
Gulbadin Naib,Afghanistan
KM Jadhav,India
Bazid Khan,Pakistan
M Pushpakumara,Sri Lanka
KM Jarvis,Zimbabwe
V Shetty,United Arab Emirates
DT Johnston,Ireland
Shoaib Akhtar,Pakistan
Tushar Imran,Bangladesh
TJ Heggelman,Netherlands
DJ Hussey,Australia
DK Butler,West Indies
JH Davey,Scotland
AS Hansra,Canada
AJ Redmond,New Zealand
HH Pandya,India
JH Stander,Scotland
PL Mommsen,Scotland
GC Wilson,Ireland
Mohammad Rizwan,Pakistan
N Kruger,Netherlands
LD Madushanka,Sri Lanka
ND McKenzie,South Africa
IH Romaine,Bermuda
J Edness,Bermuda
PC de Silva,Sri Lanka
S Dhaniram,Canada
XM Marshall,West Indies
SS Pathirana,Sri Lanka
SO Tikolo,Kenya
VB van Jaarsveld,South Africa
Javed Omar,Bangladesh
LA Dawson,England
SM Katich,Australia
L Balaji,India
Babar Hayat,Hong Kong
MN van Wyk,South Africa
DP Hyatt,West Indies
Saeed Ajmal,Pakistan
PJ Forrest,Australia
Younis Khan,Pakistan
RJ Sidebottom,England
JO Holder,West Indies
MJ Fourie,Ireland
JOA Gordon,Canada
MS Wade,Australia
Liton Das,Bangladesh
FL Reifer,West Indies
MJ Mason,New Zealand
MM Iqbal,Scotland
RK Kleinveldt,South Africa
MQ Sheikh,Scotland
Zain Abbas,Hong Kong
AL Phehlukwayo,South Africa
Dhiman Ghosh,Bangladesh
Amir Hamza,Zimbabwe
Samiullah Khan,Zimbabwe
CKB Kulasekara,Sri Lanka
JF Mooney,Ireland
JS Paris,India
SCJ Broad,England
GC Tonge,West Indies
R Dhawan,India
HJH Marshall,New Zealand
KJ Coetzer,Scotland
L Vincent,New Zealand
KD Shah,Hong Kong
AF Milne,New Zealand
MM Sharma,India
AJ Ireland,Zimbabwe
S Jyoti,Canada
Imran Nazir,Pakistan
IR Bell,England
SC Williams,Zimbabwe
JS Ababu,Kenya
R Dravid,India
Khurram Chohan,Canada
BJ Patel,Kenya
Shahid Afridi,Pakistan
AG Cremer,Zimbabwe
Mohammad Tauqir,Afghanistan
HMRKB Herath,England
DT Christian,Australia
CO Obuya,Kenya
D Bishoo,West Indies
Fawad Alam,Pakistan
CT Mutombodzi,Zimbabwe
BM Duckett,England
DA Gunawardene,Sri Lanka
VV Morea,Papua New Guinea
LPC Silva,Sri Lanka
GA Rogers,Scotland
RD McCann,Ireland
WP Saha,India
JDP Oram,New Zealand
B Lee,Australia
Nasir Hossain,Bangladesh
V Sibanda,Zimbabwe
JAH Marshall,New Zealand
K Kamyuka,Canada
JA Rudolph,South Africa
Tanveer Ahmed,Hong Kong
AJ Strauss,England
TS Chisoro,Zimbabwe
LOB Cann,Bermuda
Rashid Khan,Afghanistan
DM Bravo,West Indies
SP Fleming,New Zealand
Azhar Mahmood,Pakistan
KMC Bandara,Sri Lanka
Abdur Rauf,West Indies
SW Tait,Australia
MK Tiwary,India
Khalid Latif,Pakistan
MJ Hoggard,England
MC Henriques,Australia
LH Ferguson,New Zealand
Shami Ahmed,India
WCA Ganegama,Sri Lanka
CJ Ferguson,Australia
AR Cusack,Ireland
AM Ellis,New Zealand
MN Samuels,West Indies
GS Sandhu,England
Naveen-ul-Haq,Afghanistan
W Barresi,Netherlands
KT Sandher,Canada
CP Tremain,Australia
Tapash Baisya,Bangladesh
CA Lynn,Australia
Zahoor Khan,Hong Kong
Mohammad Salman,Pakistan
EHSN Silva,United Arab Emirates
J Smits,Netherlands
Raza-ur-Rehman,Canada
JR Hazlewood,Australia
TV Mufambisi,Zimbabwe
Mosharraf Hossain,Bangladesh
N Pradeep,Sri Lanka
Noor-ul-Haq,Afghanistan
M Ntini,South Africa
S Mukuddem,Bermuda
RN Lewis,West Indies
Abdul Jabbar,Canada
DAS Gunaratne,Sri Lanka
PJ Ongondo,Kenya
KA Pollard,West Indies
SE Bond,New Zealand
EJG Morgan,England
D Langford-Smith,Ireland
Asghar Stanikzai,Afghanistan
AR Patel,India
LHD Dilhara,Sri Lanka
RK Whelan,Ireland
D Pretorius,South Africa
AR Pitcher,Bermuda
SR Tendulkar,India
AC Voges,Australia
BJ Watling,New Zealand
Azhar Ali,Pakistan
Mohammad Kashif,Netherlands
C Zhuwao,Zimbabwe
NB Mahwire,Zimbabwe
Zaheer Maqsood,United Arab Emirates
Sharafuddin Ashraf,Afghanistan
C Kieswetter,England
Nasir Aziz,United Arab Emirates
M de Lange,England
JDS Neesham,New Zealand
R Clarke,England
RR Sarwan,West Indies
KA Edwards,West Indies
S Prasanna,Sri Lanka
RD Steede,Bermuda
Abul Hasan,Bangladesh
BJ Hodge,Australia
RP Arnold,Sri Lanka
RR Watson,Scotland
Misbah-ul-Haq,Pakistan
Inzamam-ul-Haq,Pakistan
D Mohammed,West Indies
Dolar Mahmud,Zimbabwe
DJ Worrall,Australia
LJ Woodcock,New Zealand
J Theron,South Africa
E Schiferli,Netherlands
Saqlain Haider,United Arab Emirates
DES Maxwell,Canada
WD Parnell,South Africa
R McLaren,South Africa
AM Guruge,Afghanistan
MV Boucher,South Africa
BA Westdijk,Netherlands
SPD Smith,Australia
H Davids,South Africa
S Chanderpaul,West Indies
DR Smith,West Indies
WW Hinds,West Indies
Hamid Hassan,Scotland
JNK Shannon,Ireland
Aftab Alam,Afghanistan
SL Malinga,West Indies
AA Obanda,Kenya
RM Haq,Scotland
RW Price,Zimbabwe
Rajin Saleh,Bangladesh
R Ngarava,Afghanistan
R Ashwin,South Africa
DS Kulkarni,India
Taijul Islam,Zimbabwe
CD Wallace,Scotland
LR Johnson,West Indies
IDR Bradshaw,West Indies
JPR Lamsam,Hong Kong
G Chapple,England
MJ Prior,England
Rubel Hossain,Bangladesh
T Muzarabani,Zimbabwe
Amjad Javed,United Arab Emirates
RR Patel,Kenya
DL Hemp,Bermuda
KC Sangakkara,Sri Lanka
IS Sodhi,New Zealand
Yasir Shah,Pakistan
KMDN Kulasekara,Sri Lanka
TE Tucker,Bermuda
YS Chahal,India
Imrul Kayes,Bangladesh
LRPL Taylor,New Zealand
RS Bopara,England
ADS Fletcher,West Indies
MAA Jamil,Netherlands
A Symonds,Australia
HH Gibbs,South Africa
PR Stirling,Ireland
Afzaal Haider,Hong Kong
K Christie,Hong Kong
TLW Cooper,Netherlands
Mushfiqur Rahim,Bangladesh
Mashrafe Mortaza,Bangladesh
DCC Borden,Bermuda
GC Smith,South Africa
MJ Santner,New Zealand
Yamin Ahmadzai,Afghanistan
SW Masakadza,Zimbabwe
J Anderson,Ireland
TC Bastiampillai,Canada
ME Trescothick,England
KC Hodsoll,Bermuda
TG Gordon,Canada
CK Coventry,Zimbabwe
RJW Topley,England
BJ Haddin,Australia
M Shezi,South Africa
Junaid Siddiqui,Canada
FH Edwards,West Indies
Zulqarnain Haider,Pakistan
CBRLS Kumara,Sri Lanka
DR Lockhart,Scotland
T Mupariwa,Zimbabwe
L Sreekumar,United Arab Emirates
Aizaz Cheema,Pakistan
KP Pietersen,England
BM Wheeler,New Zealand
M Kartik,India
Mohammad Nabi,Afghanistan
PADLR Sandakan,Sri Lanka
BTJ Wheal,Scotland
Alawi Shukri,United Arab Emirates
RDM Leverock,Bermuda
RN ten Doeschate,Netherlands
CA Ingram,South Africa
MC Sorensen,Ireland
AG Prince,South Africa
RMS Eranga,Sri Lanka
Shamsur Rahman,Bangladesh
D Wiese,South Africa
RJ Peterson,South Africa
OL Pitcher,Bermuda
JAR Blain,Scotland
MR Marsh,Australia
M Vijay,India
I Udana,Sri Lanka
A Kumble,India
D Soraine,Canada
DL Vettori,New Zealand
T van der Gugten,Netherlands
SR Waters,Kenya
SM Harwood,Australia
Mohammad Yousuf,Pakistan
PC Connell,Scotland
ML Nkala,Zimbabwe
JM Davison,Canada
RL Bhudia,Kenya
GH Dockrell,Ireland
Shoaib Malik,Pakistan
MH Cross,Scotland
LM Jongwe,Zimbabwe
AM Nayar,India
CJ Smith,Bermuda
AM Phangiso,Australia
Tanwir Afzal,Hong Kong
B Kumar,India
A Codrington,Canada
NW Bracken,Pakistan
KO Otieno,Kenya
VS Solanki,England
BR Dorey,Australia
HM Amla,South Africa
Afsar Zazai,Afghanistan
S Sreesanth,New Zealand
MA Starc,Australia
Adnan Mufti,United Arab Emirates
Yuvraj Singh,India
JH Kallis,South Africa
RO Hussain,Scotland
Khaled Mahmud,Bangladesh
B Laughlin,Australia
RJ Trott,Bermuda
EC Rainsford,Zimbabwe
MDKJ Perera,Sri Lanka
E Otieno,Kenya
MBS Jonkman,Netherlands
Mohammad Ashraful,Bangladesh
PP Chawla,India
Sami Faridi,Canada
EC Joyce,Ireland
GJ Maxwell,Australia
LMP Simmons,West Indies
AB de Villiers,South Africa
Mehrab Hossain jnr,Bangladesh
Salman Butt,Pakistan
RW Chakabva,Zimbabwe
JT Ball,England
DR Tuffey,New Zealand
MD Bates,New Zealand
Subashis Roy,Bangladesh
AA Mulla,Canada
JE Taylor,West Indies
Bilal Asif,Pakistan
T Mishra,Kenya
PL Harris,South Africa
PJ Moor,Zimbabwe
Aman Ali,United Arab Emirates
A Martin,West Indies
GJ Bailey,Australia
DJG Sammy,West Indies
KS Williamson,New Zealand
F du Plessis,South Africa
SK Raina,India
